fullName,email,phoneNumber,auxiliaryFields-Información,createdAt
María Marín,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-01T00:00:05.000Z
Daniel Blanco,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-01T12:36:50.000Z
Lucía Romero,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-02T01:12:47.000Z
María Torres,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-02T13:48:38.000Z
Javier Díaz,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-03T02:24:42.000Z
Pablo Vázquez,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-03T15:01:12.000Z
Pablo Prieto,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-04T03:36:30.000Z
Javier Serrano,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-04T16:13:11.000Z
Marta Ramírez,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-05T04:48:46.000Z
Alejandro Serrano,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-05T17:24:43.000Z
Alejandro Delgado,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-06T06:01:14.000Z
Laura Muñoz,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-06T18:37:45.000Z
Marta Rubio,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-07T07:13:35.000Z
Laura Gutiérrez,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-07T19:49:41.000Z
Alejandro Vázquez,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-08T08:25:43.000Z
Carlos Iglesias,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-08T21:01:51.000Z
Javier Gil,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-09T09:37:39.000Z
Daniel Pérez,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-09T22:13:20.000Z
Lucía Calvo,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-10T10:50:07.000Z
Marta Pérez,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-10T23:25:49.000Z
Carlos Cano,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-11T12:01:56.000Z
María Núñez,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-12T00:37:52.000Z
Javier Muñoz,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-12T13:13:45.000Z
Daniel López,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-13T01:50:34.000Z
Alejandro Cortés,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-13T14:26:29.000Z
Pablo García,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-14T03:02:26.000Z
Sofía Álvarez,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-14T15:38:16.000Z
Javier Castro,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-15T04:14:45.000Z
Pablo Delgado,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-15T16:50:33.000Z
Javier Ortega,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-16T05:26:31.000Z
Alejandro Méndez,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-16T18:02:36.000Z
Javier Castillo,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-17T06:38:27.000Z
María García,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-17T19:14:23.000Z
Sofía Blanco,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-18T07:50:55.000Z
María Alonso,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-18T20:27:20.000Z
Sofía Cano,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-19T09:02:34.000Z
Laura Morales,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-19T21:39:26.000Z
Pablo Ortiz,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-20T10:15:29.000Z
Pablo Ruiz,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-20T22:51:00.000Z
Marta Méndez,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-21T11:27:25.000Z
Javier García,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-22T00:03:02.000Z
Pablo Muñoz,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-22T12:39:42.000Z
María Díaz,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-23T01:15:43.000Z
Sofía Navarro,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-23T13:51:27.000Z
Carlos Ramírez,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-24T02:27:14.000Z
Carlos Pérez,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-24T15:04:12.000Z
Marta Sanz,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-25T03:39:45.000Z
Lucía Gómez,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-25T16:16:16.000Z
Laura Ferrero,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-26T04:52:07.000Z
María Domínguez,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-26T17:28:18.000Z
Lucía Delgado,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-27T06:04:21.000Z
Pablo Cruz,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-27T18:39:51.000Z
Javier Cortés,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-28T07:16:05.000Z
Alejandro Gil,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-28T19:52:17.000Z
Javier Cano,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-29T08:28:22.000Z
Pablo Ramos,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-29T21:03:59.000Z
Carlos Ortiz,jossacb2@gmail.com,34600000000,LLegada 15 min antes para realizar checkin y poder agilizar la fila.,2025-01-30T09:40:34.000Z
